Date : 2023-04-25 18:40:28
Directory : /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python
Total : 407 files,  16405 codes, 2619 comments, 3856 blanks, all 22880 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src/openapi_client/configurations                                                                                                                                                                                               |          3 |        226 |        170 |         37 |        433 |
| src/openapi_client/paths                                                                                                                                                                                                        |        264 |      7,895 |      1,194 |      1,854 |     10,943 |
| src/openapi_client/paths (Files)                                                                                                                                                                                                |          1 |          0 |          3 |          1 |          4 |
| src/openapi_client/paths/pet                                                                                                                                                                                                    |         29 |      1,025 |        129 |        199 |      1,353 |
| src/openapi_client/paths/pet (Files)                                                                                                                                                                                            |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/pet/post                                                                                                                                                                                               |         13 |        490 |         57 |         90 |        637 |
| src/openapi_client/paths/pet/post (Files)                                                                                                                                                                                       |          2 |        424 |         15 |         47 |        486 |
| src/openapi_client/paths/pet/post/request_body                                                                                                                                                                                  |          1 |          2 |          6 |          4 |         12 |
| src/openapi_client/paths/pet/post/responses                                                                                                                                                                                     |          8 |         60 |         30 |         34 |        124 |
| src/openapi_client/paths/pet/post/responses (Files)                                                                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet/post/responses/response_200                                                                                                                                                                        |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/pet/post/responses/response_200 (Files)                                                                                                                                                                |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/pet/post/responses/response_200/content                                                                                                                                                                |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/pet/post/responses/response_200/content (Files)                                                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet/post/responses/response_200/content/application_json                                                                                                                                               |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet/post/responses/response_200/content/application_xml                                                                                                                                                |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet/post/responses/response_405                                                                                                                                                                        |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet/post/security                                                                                                                                                                                      |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet/put                                                                                                                                                                                                |         15 |        534 |         69 |        108 |        711 |
| src/openapi_client/paths/pet/put (Files)                                                                                                                                                                                        |          2 |        432 |         15 |         47 |        494 |
| src/openapi_client/paths/pet/put/request_body                                                                                                                                                                                   |          1 |          2 |          6 |          4 |         12 |
| src/openapi_client/paths/pet/put/responses                                                                                                                                                                                      |         10 |         96 |         42 |         52 |        190 |
| src/openapi_client/paths/pet/put/responses (Files)                                                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet/put/responses/response_200                                                                                                                                                                         |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/pet/put/responses/response_200 (Files)                                                                                                                                                                 |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/pet/put/responses/response_200/content                                                                                                                                                                 |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/pet/put/responses/response_200/content (Files)                                                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet/put/responses/response_200/content/application_json                                                                                                                                                |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet/put/responses/response_200/content/application_xml                                                                                                                                                 |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet/put/responses/response_400                                                                                                                                                                         |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet/put/responses/response_404                                                                                                                                                                         |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet/put/responses/response_405                                                                                                                                                                         |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet/put/security                                                                                                                                                                                       |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet_find_by_status                                                                                                                                                                                     |         16 |        472 |         69 |        127 |        668 |
| src/openapi_client/paths/pet_find_by_status (Files)                                                                                                                                                                             |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/pet_find_by_status/get                                                                                                                                                                                 |         15 |        471 |         66 |        126 |        663 |
| src/openapi_client/paths/pet_find_by_status/get (Files)                                                                                                                                                                         |          2 |        270 |         15 |         43 |        328 |
| src/openapi_client/paths/pet_find_by_status/get/parameters                                                                                                                                                                      |          3 |         65 |         15 |         26 |        106 |
| src/openapi_client/paths/pet_find_by_status/get/parameters (Files)                                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_status/get/parameters/parameter_0                                                                                                                                                          |          2 |         65 |         15 |         25 |        105 |
| src/openapi_client/paths/pet_find_by_status/get/responses                                                                                                                                                                       |          8 |        132 |         30 |         52 |        214 |
| src/openapi_client/paths/pet_find_by_status/get/responses (Files)                                                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200                                                                                                                                                          |          6 |        114 |         24 |         42 |        180 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200 (Files)                                                                                                                                                  |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content                                                                                                                                                  |          5 |         76 |         18 |         29 |        123 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content (Files)                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_json                                                                                                                                 |          2 |         38 |          9 |         14 |         61 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_xml                                                                                                                                  |          2 |         38 |          9 |         14 |         61 |
| src/openapi_client/paths/pet_find_by_status/get/responses/response_400                                                                                                                                                          |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet_find_by_status/get/security                                                                                                                                                                        |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet_find_by_tags                                                                                                                                                                                       |         16 |        451 |         69 |        120 |        640 |
| src/openapi_client/paths/pet_find_by_tags (Files)                                                                                                                                                                               |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/pet_find_by_tags/get                                                                                                                                                                                   |         15 |        450 |         66 |        119 |        635 |
| src/openapi_client/paths/pet_find_by_tags/get (Files)                                                                                                                                                                           |          2 |        270 |         15 |         43 |        328 |
| src/openapi_client/paths/pet_find_by_tags/get/parameters                                                                                                                                                                        |          3 |         44 |         15 |         19 |         78 |
| src/openapi_client/paths/pet_find_by_tags/get/parameters (Files)                                                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_tags/get/parameters/parameter_0                                                                                                                                                            |          2 |         44 |         15 |         18 |         77 |
| src/openapi_client/paths/pet_find_by_tags/get/responses                                                                                                                                                                         |          8 |        132 |         30 |         52 |        214 |
| src/openapi_client/paths/pet_find_by_tags/get/responses (Files)                                                                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200                                                                                                                                                            |          6 |        114 |         24 |         42 |        180 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200 (Files)                                                                                                                                                    |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content                                                                                                                                                    |          5 |         76 |         18 |         29 |        123 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content (Files)                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_json                                                                                                                                   |          2 |         38 |          9 |         14 |         61 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_xml                                                                                                                                    |          2 |         38 |          9 |         14 |         61 |
| src/openapi_client/paths/pet_find_by_tags/get/responses/response_400                                                                                                                                                            |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet_find_by_tags/get/security                                                                                                                                                                          |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet_pet_id                                                                                                                                                                                             |         41 |      1,234 |        190 |        291 |      1,715 |
| src/openapi_client/paths/pet_pet_id (Files)                                                                                                                                                                                     |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/pet_pet_id/delete                                                                                                                                                                                      |         11 |        342 |         57 |         85 |        484 |
| src/openapi_client/paths/pet_pet_id/delete (Files)                                                                                                                                                                              |          2 |        281 |         15 |         45 |        341 |
| src/openapi_client/paths/pet_pet_id/delete/parameters                                                                                                                                                                           |          5 |         39 |         30 |         25 |         94 |
| src/openapi_client/paths/pet_pet_id/delete/parameters (Files)                                                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_0                                                                                                                                                               |          2 |         19 |         15 |         12 |         46 |
| src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_1                                                                                                                                                               |          2 |         20 |         15 |         12 |         47 |
| src/openapi_client/paths/pet_pet_id/delete/responses                                                                                                                                                                            |          2 |         18 |          6 |         10 |         34 |
| src/openapi_client/paths/pet_pet_id/delete/responses (Files)                                                                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id/delete/responses/response_400                                                                                                                                                               |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet_pet_id/delete/security                                                                                                                                                                             |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet_pet_id/get                                                                                                                                                                                         |         16 |        375 |         72 |        105 |        552 |
| src/openapi_client/paths/pet_pet_id/get (Files)                                                                                                                                                                                 |          2 |        273 |         15 |         44 |        332 |
| src/openapi_client/paths/pet_pet_id/get/parameters                                                                                                                                                                              |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/pet_pet_id/get/parameters (Files)                                                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id/get/parameters/parameter_0                                                                                                                                                                  |          2 |         20 |         15 |         12 |         47 |
| src/openapi_client/paths/pet_pet_id/get/responses                                                                                                                                                                               |          9 |         78 |         36 |         43 |        157 |
| src/openapi_client/paths/pet_pet_id/get/responses (Files)                                                                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200                                                                                                                                                                  |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200 (Files)                                                                                                                                                          |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200/content                                                                                                                                                          |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200/content (Files)                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/application_json                                                                                                                                         |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/application_xml                                                                                                                                          |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_400                                                                                                                                                                  |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet_pet_id/get/responses/response_404                                                                                                                                                                  |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/pet_pet_id/get/security                                                                                                                                                                                |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/pet_pet_id/post                                                                                                                                                                                        |         13 |        516 |         58 |        100 |        674 |
| src/openapi_client/paths/pet_pet_id/post (Files)                                                                                                                                                                                |          2 |        390 |         15 |         44 |        449 |
| src/openapi_client/paths/pet_pet_id/post/parameters                                                                                                                                                                             |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/pet_pet_id/post/parameters (Files)                                                                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
