Date : 2023-04-25 18:40:28
Directory : /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python
Total : 407 files,  16405 codes, 2619 comments, 3856 blanks, all 22880 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order/post/responses/response_400/__init__.py                                      | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/__init__.py                                                         | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/operation.py                                                 | Python       |        218 |         15 |         37 |        270 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/parameters/__init__.py                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/parameters/parameter_0/__init__.py                           | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/parameters/parameter_0/schema.py                             | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/responses/__init__.py                                        | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/responses/response_400/__init__.py                           | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/delete/responses/response_404/__init__.py                           | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/__init__.py                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/operation.py                                                    | Python       |        249 |         15 |         42 |        306 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/parameters/__init__.py                                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/parameters/parameter_0/__init__.py                              | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/parameters/parameter_0/schema.py                                | Python       |         20 |          9 |          9 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/__init__.py                                           | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/__init__.py                              | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/__init__.py                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_json/__init__.py     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_json/schema.py       | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_xml/__init__.py      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_xml/schema.py        | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_400/__init__.py                              | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/store_order_order_id/get/responses/response_404/__init__.py                              | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/__init__.py                                                                         | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/__init__.py                                                                    | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/operation.py                                                                   | Python       |        318 |         15 |         42 |        375 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/request_body/__init__.py                                                       | Python       |         17 |          6 |          7 |         30 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/request_body/content/__init__.py                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/request_body/content/application_json/__init__.py                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/request_body/content/application_json/schema.py                                | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/responses/__init__.py                                                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/responses/response_default/__init__.py                                         | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/security/__init__.py                                                           | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user/post/security/security_requirement_object_0.py                                      | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/__init__.py                                                       | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/operation.py                                                 | Python       |        318 |         15 |         42 |        375 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/request_body/__init__.py                                     | Python       |          2 |          6 |          4 |         12 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/responses/__init__.py                                        | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/responses/response_default/__init__.py                       | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/security/__init__.py                                         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_array/post/security/security_requirement_object_0.py                    | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/__init__.py                                                        | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/__init__.py                                                   | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/operation.py                                                  | Python       |        318 |         15 |         42 |        375 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/request_body/__init__.py                                      | Python       |          2 |          6 |          4 |         12 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/responses/__init__.py                                         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/responses/response_default/__init__.py                        | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/security/__init__.py                                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_create_with_list/post/security/security_requirement_object_0.py                     | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/__init__.py                                                                   | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/__init__.py                                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/operation.py                                                              | Python       |        251 |         15 |         41 |        307 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/parameters/__init__.py                                                    | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/parameters/parameter_0/__init__.py                                        | Python       |         10 |          6 |          7 |         23 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/parameters/parameter_0/schema.py                                          | Python       |         20 |          9 |          9 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/parameters/parameter_1/__init__.py                                        | Python       |         10 |          6 |          7 |         23 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/parameters/parameter_1/schema.py                                          | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/__init__.py                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/__init__.py                                        | Python       |         64 |          6 |         18 |         88 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/content/__init__.py                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/content/application_json/__init__.py               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/content/application_json/schema.py                 | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/content/application_xml/__init__.py                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/content/application_xml/schema.py                  | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/__init__.py                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_set_cookie/__init__.py              | Python       |          7 |          6 |          6 |         19 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_set_cookie/schema.py                | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_expires_after/__init__.py         | Python       |          7 |          6 |          6 |         19 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_expires_after/schema.py           | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_rate_limit/__init__.py            | Python       |          7 |          6 |          6 |         19 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_rate_limit/schema.py              | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_login/get/responses/response_400/__init__.py                                        | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/__init__.py                                                                  | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/__init__.py                                                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/operation.py                                                             | Python       |        180 |         15 |         34 |        229 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/responses/__init__.py                                                    | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/responses/response_default/__init__.py                                   | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/security/__init__.py                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_logout/get/security/security_requirement_object_0.py                                | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/__init__.py                                                                | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/__init__.py                                                         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/operation.py                                                        | Python       |        242 |         15 |         38 |        295 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/parameters/__init__.py                                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/parameters/parameter_0/__init__.py                                  | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/parameters/parameter_0/schema.py                                    | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/responses/__init__.py                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/responses/response_400/__init__.py                                  | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/responses/response_404/__init__.py                                  | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/security/__init__.py                                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/delete/security/security_requirement_object_0.py                           | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/__init__.py                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/operation.py                                                           | Python       |        249 |         15 |         42 |        306 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/parameters/__init__.py                                                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/parameters/parameter_0/__init__.py                                     | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/parameters/parameter_0/schema.py                                       | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/__init__.py                                     | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/content/__init__.py                             | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/content/application_json/__init__.py            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/content/application_json/schema.py              | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/content/application_xml/__init__.py             | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_200/content/application_xml/schema.py               | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_400/__init__.py                                     | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/get/responses/response_404/__init__.py                                     | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/__init__.py                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/operation.py                                                           | Python       |        383 |         15 |         43 |        441 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/parameters/__init__.py                                                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/parameters/parameter_0/__init__.py                                     | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/parameters/parameter_0/schema.py                                       | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/request_body/__init__.py                                               | Python       |         17 |          6 |          7 |         30 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/request_body/content/__init__.py                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/request_body/content/application_json/__init__.py                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/request_body/content/application_json/schema.py                        | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/responses/__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/responses/response_400/__init__.py                                     | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/responses/response_404/__init__.py                                     | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/security/__init__.py                                                   | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/user_username/put/security/security_requirement_object_0.py                              | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/rest.py                                                                                        | Python       |        175 |         47 |         31 |        253 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/schemas.py                                                                                     | Python       |      1,824 |        315 |        263 |      2,402 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/security_schemes.py                                                                            | Python       |        166 |         17 |         40 |        223 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/server.py                                                                                      | Python       |         23 |          9 |          6 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/servers/__init__.py                                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/servers/server_0.py                                                                            | Python       |          6 |          6 |          5 |         17 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/__init__.py                                                                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/__init__.py                                                                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/__init__.py                                                                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_api_response.py                                                                       | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_category.py                                                                           | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_order.py                                                                              | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_pet.py                                                                                | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_tag.py                                                                                | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/components/schema/test_user.py                                                                               | Python       |          8 |         10 |          8 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/__init__.py                                                                                       | Python       |         61 |          0 |          8 |         69 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet/__init__.py                                                                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet/test_post.py                                                                             | Python       |         18 |         10 |         10 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet/test_put.py                                                                              | Python       |         18 |         10 |         10 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_find_by_status/__init__.py                                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_find_by_status/test_get.py                                                               | Python       |         18 |         10 |         10 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_find_by_tags/__init__.py                                                                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_find_by_tags/test_get.py                                                                 | Python       |         18 |         10 |         10 |         38 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_pet_id/__init__.py                                                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/test/test_paths/test_pet_pet_id/test_delete.py                                                                    | Python       |         17 |         10 |         10 |         37 |
